,review,date,title,rating,userName,developerResponse,isEdited
0,YAP is a very convenient App for transferring money between my friends and family not only that it is also super beneficial and makes every day purchases so easy By adding my YAP card to my Apple Pay Wallet I tap it everywhere and at anytime especially when I am on a rush to buy things I dont need to carry my card around so thats makes it a seamless and easy process,2022-01-19 09:23:04,Apple Pay Payment,4,Lulu Posts,"{'id': 25941858, 'body': 'Thank you for taking the time to give us a nice review Lulu 👍', 'modified': '2022-01-19T09:23:04Z'}",True
1,Its been 4 days since Ive been using YAP Easily the top neobank in its category I applied for a card mid last week and had someone deliver my package 3 days later What I really like on here is the ability to create multiple virtual cards that really help control unnecessary spend Aside from that its just simple and straightforward unlike other banking apps that take away hours just trying to figure out how and where to navigate,2021-09-28 10:04:55,4 Day review,5,mr3aziz,"{'id': 25457866, 'body': ""Thank you so much for the nice review! We're glad to hear you're enjoying your account and making use of our virtual cards feature 🥰"", 'modified': '2021-10-03T06:49:48Z'}",False
2,Simple Quick and convenient YAP offers a quick and convenient to you These are the most user friendly service app services offered for money transfer pay Friends and family receiving funds Your money is available within a few clicks and not to mention their security and member protected information If anything mysterious shows on my account my issue is resolved immediately or Im easily able to contact YAP support to assist with my issue I wish all apps were this easy continent and customer driven I recommend YAP to all friends and family Thank you YAP for the excellent service I truly appreciate every detailed process,2022-01-19 08:24:15,Amazing product,5,Moh Albushra,"{'id': 25941983, 'body': ""We're so glad to hear that! Thanks for taking the time to review us 🙌"", 'modified': '2022-01-19T08:24:16Z'}",True
3,many questions and a documents required to keep using the amount even a very small amount being deposited in,2022-06-02 11:21:45,Not bad but,2,justnader,"{'id': 30113700, 'body': 'Hello. Let us help you. Please get in touch with us through our support channels so we can understand more. We’ll then look into your concerns and ensure they are dealt with properly. Thanks so much!', 'modified': '2022-06-02T11:21:45Z'}",True
4,I opened my account around 20 days ago Got my card in around 3 days and still unable to use my card due to some documents requirement EID scan was carried out successfully YAP doesnt tell me which document are further required I contacted the customer service twice but they say that your account is still processing Liv by Emirates NBD didnt have such issues and my account was opened in one go Didnt expect such service by YAP Kinda disappointed here,2021-12-21 14:16:49,Additional documents required,1,Ninjazod,"{'id': 27008222, 'body': ""Hey there 👋  We'd like to look into this and address your concerns. If you could reach out to us over social media, we can get things moving for you. Thanks!"", 'modified': '2021-12-23T06:14:11Z'}",False
5,I tried to send money to my family in the Philippines I was amazed to their charges it was cheaper compare to others And it was so quick my family got them instantly No hassle Stress free Thank you YAP Great app experience All the best,2022-01-19 09:11:19,Fast and Cheap Remittances,5,joantrocio,"{'id': 27582635, 'body': 'Hi Joan 👋 We are so excited to hear that you are enjoying YAP. Thanks for taking the time leave us a nice review. Take care 😊', 'modified': '2022-01-21T13:09:06Z'}",False
6,I tried to many times to scan my emirates id and it get rejected because its the new design i tried with the old one and get accepted but its already expired and really bad costumer service I tried to contact with them to many times they didnt help me they only said to send the problem by email and no one respond,2021-11-18 17:36:03,Emirates ID problem,1,Omar alhamrawi,"{'id': 26470354, 'body': ""Hey Omar, we're really sorry you've had this sort of experience with us. Please get in touch with us over social media so we can look into this for you."", 'modified': '2021-11-25T08:22:34Z'}",False
7,I started using YAP and I am absolutely amazed Its so easy to add your fees and do all your transactions without the need to enter a physical Bank,2021-10-14 06:53:48,Amazing Banking App,5,KaterinaCat01,"{'id': 25856046, 'body': 'Thanks for the review Katerina 🙌', 'modified': '2021-10-24T11:50:22Z'}",False
8,Very disappointed the driver that called me 20 times asking for location map was also trying to get me to sign a form that if any losses or liability occurs due to the app that Yap and Rak bank have no responsibility I get your a startup but that doesnt make me feel comfortable and I rejected the card Shocking to be honest,2021-09-26 08:39:21,I rejected my card,1,MAR Rafi,"{'id': 25368981, 'body': ""Hey Rafi 👋 We're sorry our delivery partner called you many times to find your location. We'd like to look see what happened here. If you could message us on social media, or support team using the in-app live chat, we can look into your case. As for the consent form, our partner bank requires this to be signed so you can get started."", 'modified': '2021-09-28T10:55:37Z'}",False
9,App looks great and friendly But bank by itself cannot approved account activation for more than 1 5 month without any explanation which is ridiculous moreover back spending money to send debit card and doesnt activate account to use it,2022-05-26 06:22:07,Great app but something wrong with processing,1,JohnChong85,"{'id': 30043538, 'body': 'Hello. Let us help you. Please get in touch with us through our support channels so we can understand more. We’ll then look into your concerns and ensure they are dealt with properly. Thanks so much!', 'modified': '2022-05-30T08:33:01Z'}",False
10,Very Interesting and easy to use,2021-12-29 13:12:15,Clever App,5,SimowT,"{'id': 27335480, 'body': 'Hi there 👋 We are so excited to hear that you are enjoying YAP. Thanks for taking the time leave us a nice review. Take care 😊', 'modified': '2022-01-10T06:44:39Z'}",False
11,I received my card more than three months now and the account still not active,2021-12-05 12:25:33,Account not active,1,Ali 9990,"{'id': 26730323, 'body': ""Hey Ali 👋 We're sorry you're facing a delay in your activation. We're working hard to have the application processed, and we really appreciate your patience in the meantime."", 'modified': '2021-12-09T08:09:03Z'}",False
12,Right of the bat EID scanning of the app is terrible Even worst than that they DO NOT OPEN ACCOUNT FOR ALL NATIONALITIES even though you are an employee of well known company working and living in UAE,2022-04-11 03:32:55,Even one store is too much!,1,k_agha,"{'id': 29140233, 'body': 'Hello. Let us help you. Please get in touch with us through our support channels so we can understand more. We’ll then look into your concerns and ensure they are dealt with properly. Thanks so much!', 'modified': '2022-04-13T06:22:12Z'}",False
13,Keeps saying my emirates id has glare when theres no glare at all Tried several times but it didnt work,2021-10-03 06:05:55,Fast but glitchy,1,Saloomii,"{'id': 25855731, 'body': ""We're sorry you've experienced difficulty scanning your Emirates ID. Our team are aware of this issue and we're working on a fix. If you ever have any trouble, please get in touch with our friendly support team so they can help you out."", 'modified': '2021-10-24T11:34:45Z'}",False
