,Post_ID,Post_Profile,Post_Caption,Post_Date,Post_URL,Post_Likes,Post_Comments,Comment_ID,Comment_Username,Comment_Text,Comment_Time
201,2855363012546998160,yapuae,"Don’t let late payments take a toll on your journey 🥵 Recharge your tollway account in an instant with YAP.

Download the app today 📲",2022-06-07 12:44:20,https://www.instagram.com/p/CegSYgTpy-Q,52,4,18208929181195753,malik.tayyab.official,,2022-06-13 04:21:42
202,2855363012546998160,yapuae,"Don’t let late payments take a toll on your journey 🥵 Recharge your tollway account in an instant with YAP.

Download the app today 📲",2022-06-07 12:44:20,https://www.instagram.com/p/CegSYgTpy-Q,52,4,17943549137120713,_hanaasolimaan,seifhossien,2022-07-05 16:31:29
203,2854586202625466753,yapuae,"Keep a watch on your spends. Link your YAP card to your Apple devices and make safer, quicker payments on the go ⌚",2022-06-06 11:00:17,https://www.instagram.com/p/CedhwbsOOGB,41,3,17942024450092602,yapuae,YAP YapUAE DigitalBanking Fintech Security,2022-06-06 11:00:31
204,2854586202625466753,yapuae,"Keep a watch on your spends. Link your YAP card to your Apple devices and make safer, quicker payments on the go ⌚",2022-06-06 11:00:17,https://www.instagram.com/p/CedhwbsOOGB,41,3,17965962118662868,shijin619,What about google pay,2022-06-15 17:51:32
205,2853943029469727216,yapuae,Sometimes virtual is better 👾,2022-06-05 13:43:02,https://www.instagram.com/p/CebPhCAvsnw,103,1,17935009811191628,yapuae,YAP YAPUAE Fintech DigitalBanking Security,2022-06-05 13:43:14
206,2853136628301821604,yapuae,"Sending money to family and friends is faster with YAP 2 YAP. 

Let’s YAP it together! 🤝",2022-06-04 11:00:21,https://www.instagram.com/p/CeYYKWZlfak,40,5,17938181210129151,yapuae,YAP YapUAE DigitalBanking Fintech Security,2022-06-04 11:00:36
207,2853136628301821604,yapuae,"Sending money to family and friends is faster with YAP 2 YAP. 

Let’s YAP it together! 🤝",2022-06-04 11:00:21,https://www.instagram.com/p/CeYYKWZlfak,40,5,17943581093012422,pxhomegoods,yes,2022-06-04 11:33:10
208,2853136628301821604,yapuae,"Sending money to family and friends is faster with YAP 2 YAP. 

Let’s YAP it together! 🤝",2022-06-04 11:00:21,https://www.instagram.com/p/CeYYKWZlfak,40,5,17962747429688903,alam1x,Yay ,2022-06-04 11:48:25
209,2852411862471012187,yapuae,"Around the world in just a few clicks 🌎 

International transfers made easy in under a minute. Just YAP it!",2022-06-03 11:00:22,https://www.instagram.com/p/CeVzXnnse9b,257,9,18208043299153547,yapuae,YAP YapUAE DigitalBanking Fintech Security,2022-06-03 11:00:32
210,2852411862471012187,yapuae,"Around the world in just a few clicks 🌎 

International transfers made easy in under a minute. Just YAP it!",2022-06-03 11:00:22,https://www.instagram.com/p/CeVzXnnse9b,257,9,17925868895219540,tallyali95,,2022-06-03 11:07:07
